date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,F13,F14,F15
2020-04-13 15:23:16.000,WHO,NULL,19,190,302,"""We know that in some countries, #COVID19 cases are doubling every 3 to 4 days. However, while COVID-19 accelerates very fast, it decelerates much more slowly. In other words, the way down is much slower than the way up""-@DrTedros #coronavirus",NULL,@DrTedros,#COVID19 #coronavirus,1.2497198128525E+18,https://twitter.com/WHO/status/1249719812852506626,NULL,NULL,NULL
2020-04-13 15:22:35.000,WHO,NULL,5,115,211,"""We know that the #coronavirus can spread more easily in crowded environments like nursing homes. We know that early case-finding, testing, isolating caring for every case &amp; tracing every contact is essential for stopping #COVID19 transmission""-@DrTed",NULL,@DrTedros,#coronavirus #COVID19,1.24971963838626E+18,https://twitter.com/WHO/status/1249719638386266112,NULL,NULL,NULL
2020-04-13 15:21:56.000,WHO,NULL,19,216,306,"""Evidence from several countries is giving us a clearer picture about this virus, how it behaves, how to stop it & how to treat it. We know that #COVID19 spreads fast &amp; we know that it is deadly 鈥?10 times deadlier than the virus responsible for the 2",NULL,@DrTedros,#COVID19,1.24971947737532E+18,https://twitter.com/WHO/status/1249719477375324163,NULL,NULL,NULL
2020-04-13 15:19:47.000,WHO,NULL,19,118,273,"""As we鈥檝e said many times before, this is a new virus & the first pandemic caused by a #coronavirus. We鈥檙e all learning, all the time &amp; adjusting our strategy, based on the latest available evidence. We can only say what we know &amp; we can only act ",NULL,@DrTedros,#coronavirus,1.24971893523213E+18,https://twitter.com/WHO/status/1249718935232135173,NULL,NULL,NULL
2020-04-13 15:19:08.000,WHO,NULL,39,89,258,"""In both cases, these decisions must be based first on foremost on protecting human health, and guided by what we know about the #coronavirus and how it behaves. Since the beginning, this has been an area of intense focus for WHO""-@DrTedros #COVID19",NULL,@DrTedros,#coronavirus #COVID19,1.24971877112155E+18,https://twitter.com/WHO/status/1249718771121557504,NULL,NULL,NULL
2020-04-13 15:18:45.000,WHO,NULL,38,102,270,"Some countries and communities have now endured several weeks of social and economic restrictions. Some countries are considering when they can lift these restrictions; others are considering whether and when to introduce them"-@DrTedros #COVID19 #corona,NULL,@DrTedros,#COVID19 #coronavirus,1.24971867478686E+18,https://twitter.com/WHO/status/1249718674786865154,NULL,NULL,NULL
2020-04-13 15:16:46.000,WHO,NULL,543,1571,3071,Media briefing on #COVID19 with @DrTedros. #coronavirus,NULL,@DrTedros,#COVID19 #coronavirus,1.24971817559754E+18,https://twitter.com/WHO/status/1249718175597543432,NULL,NULL,NULL
2020-04-12 11:22:47.000,WHO,NULL,63,419,884,Learn about the #coronavirus &amp; emergency response with our free #OpenWHO courses: - Introduction to #COVID19 - Health &amp; safety - Infection prevention &amp; control - Clinical care - Country capacitation - Treatment facilities - Field data tool Enr,NULL,NULL,#coronavirus #OpenWHO #COVID19,1.24929690328573E+18,https://twitter.com/WHO/status/1249296903285735425,NULL,NULL,NULL
2020-04-12 09:44:13.000,WHO,NULL,27,160,366,"Join our new #OpenWHO online course on GoData, a platform used to support &amp; facilitate outbreak investigation focusing on field data collection, contact tracing &amp; visualisation of chains of transmission - including during #COVID19. https://bit.ly/",NULL,NULL,#OpenWHO #COVID19,1.24927209812568E+18,https://twitter.com/WHO/status/1249272098125684736,NULL,NULL,NULL
2020-04-11 19:42:24.000,WHO,NULL,93,209,537,"Mums and dads, you deserve praise! You are stars! Looking after kids 24-7 during #COVID19 isn鈥檛 easy. Remind yourself of what you did well today. Think about the good moments. More parenting tips while we #StayAtHome https://bit.ly/ParentingCOVID19 #coron",NULL,NULL,#COVID19 #StayAtHome #StayAtHome #coronavirus,1.24906025019347E+18,https://twitter.com/WHO/status/1249060250193473536,NULL,NULL,NULL
2020-04-11 18:42:38.000,WHO,WHO,60,173,455,Read a book with your children. This new book of Sara and Ario's adventure can help under-12s understand and come to terms with #COVID19. More parenting tips while #StayAtHome https://bit.ly/ParentingCOVID19 #coronavirus,NULL,NULL,#COVID19 #StayAtHome #StayAtHome #coronavirus,1.24904520665101E+18,https://twitter.com/WHO/status/1249045206651015169,NULL,NULL,NULL
2020-04-11 17:52:10.000,WHO,NULL,72,213,523,Talk to your children about #COVID19. It鈥檚 hard for them not to hear about it. Silence &amp; secrets do not protect our children. Honesty &amp; openness do. Think about how much they will understand. You know them best. More parenting tips while #StayAtHo,NULL,NULL,#COVID19 #StayAtHome #StayAtHome,1.24903250750227E+18,https://twitter.com/WHO/status/1249032507502276614,NULL,NULL,NULL
2020-04-11 15:28:42.000,WHO,NULL,113,435,1164,Crowded and messy home? Kids crying? Teenagers screaming? Back-to-back online meetings? Take a deep breath. Take a break. Do something for yourself. Take care of yourself so you can take care of your children More parenting tips during #COVID19 https://bi,NULL,NULL,#COVID19,1.24899640490061E+18,https://twitter.com/WHO/status/1248996404900618241,NULL,NULL,NULL
2020-04-11 14:10:04.000,WHO,NULL,64,274,941,"A structured day helps kids feel secure and makes it easier to manage them. Try making a timetable, with schoolwork, games, free time, exercise and handwashing. Take charge of your days - routine up! More parenting tips during #COVID19 https://bit.ly/Pare",NULL,NULL,#COVID19 #coronavirus,1.24897661642182E+18,https://twitter.com/WHO/status/1248976616421822467,NULL,NULL,NULL
2020-04-11 12:11:39.000,WHO,NULL,108,405,1222,"Praise is powerful. Try praising your child or teenager for something they have done well. Do it in a genuine way. They may not show it, but you鈥檒l see them doing that good thing again. More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19 #",NULL,NULL,#COVID19 #coronavirus,1.24894681520402E+18,https://twitter.com/WHO/status/1248946815204024323,NULL,NULL,NULL
2020-04-11 11:21:45.000,WHO,NULL,51,191,597,"Catch bad behaviour early and redirect your kids' attention from a bad to a good behaviour. Clear, positive instructions get us the behaviour that we want. Swap 鈥榙on鈥檛 make a mess鈥?for 鈥榩lease put away your pens鈥?More parenting tips during #COVID19 https:",NULL,NULL,#COVID19,1.24893425698804E+18,https://twitter.com/WHO/status/1248934256988041217,NULL,NULL,NULL
2020-04-11 11:00:36.000,WHO,NULL,39,178,562,Exercise helps kids with a lot of energy (and adults) to de-stress when we #StayAtHome. Let your child choose the music and have a 10-minute dance! You might even impress them with your moves! More parenting tips during #COVID19 https://bit.ly/ParentingCO,NULL,NULL,#StayAtHome #StayAtHome #COVID19 #coronavirus,1.24892893354804E+18,https://twitter.com/WHO/status/1248928933548040193,NULL,NULL,NULL
2020-04-11 10:35:50.000,WHO,NULL,66,245,638,Try taking 20 minutes doing something the kids choose 鈥?like playing a game or reading - together with them. No phone or TV so you can focus on them. Quality time will make them feel safe and loved. More parenting tips during #COVID19 https://bit.ly/Paren,NULL,NULL,#COVID19 #coronavirus,1.24892270072425E+18,https://twitter.com/WHO/status/1248922700724256768,NULL,NULL,NULL
2020-04-11 10:15:47.000,WHO,NULL,696,1098,2964,Working from home with your children around? Your kids are bored and want to play outside but they can't? NOT EASY for any of us! More parenting tips during #COVID19 https://bit.ly/ParentingCOVID19 #coronavirus,NULL,NULL,#COVID19 #coronavirus,1.2489176573337E+18,https://twitter.com/WHO/status/1248917657333706763,NULL,NULL,NULL
2020-04-11 09:34:58.000,WHO,NULL,25,167,360,"For those over 60 & people with underlying health conditions, keeping your physical distance is advised. Decline visits during the #COVID19 outbreak Alternatively, socialize by phone everyday with friends or family Stay at least 1 meter away from others ",NULL,NULL,#COVID19,1.24890738347828E+18,https://twitter.com/WHO/status/1248907383478288384,NULL,NULL,NULL
2020-04-11 06:50:08.000,WHO,NULL,57,311,676,"For adults over 60 & people with underlying conditions, it is vital to: Check for common symptoms Keep your family/friends informed if you need assistance Seek medical care immediately, if you have difficulty breathing. first, if possible. #coronavirus #C",NULL,NULL,#coronavirus #COVID19,1.24886590254158E+18,https://twitter.com/WHO/status/1248865902541582336,NULL,NULL,NULL
2020-04-10 22:10:26.000,WHO,NULL,116,207,774,CORRECTION: Older adults (60 & above) or people with underlying health conditions are at higher risk of developing severe forms of #COVID19.,NULL,NULL,#COVID19,1.24873511480641E+18,https://twitter.com/WHO/status/1248735114806415367,NULL,NULL,NULL
2020-04-10 20:41:28.000,WHO,NULL,50,292,578,"For those over 60 & people with underlying health conditions, keeping your physical distance is advised. Stay at least 1 meter away from others Decline visits during the #COVID19 outbreak Alternatively, socialize by phone everyday with friends or family",NULL,NULL,#COVID19,1.24871272631629E+18,https://twitter.com/WHO/status/1248712726316298240,NULL,NULL,NULL
2020-04-10 20:04:05.000,WHO,NULL,22,265,460,"Physical distancing can prevent #COVID19 infection. If you're an older adult / have any underlying health condition: public gatherings, Stock for at least 2 weeks, You can also order them online, Or Ask for help from family/neighbors/volunteers to do #cor",NULL,NULL,#COVID19 #coronavirus,1.24870331748153E+18,https://twitter.com/WHO/status/1248703317481533442,NULL,NULL,NULL
2020-04-10 19:30:53.000,WHO,NULL,18,235,449,"Older adults & people w/ underlying conditions can protect themselves & others by: Wash frequently, cough/sneeze into a flexed , use a disposable tissue Keep distance unnecessary public activities Disinfect frequently touched surfaces #COVID19",NULL,NULL,#COVID19,1.24869496216797E+18,https://twitter.com/WHO/status/1248694962167971840,NULL,NULL,NULL
2020-04-10 18:42:07.000,WHO,NULL,180,1421,3102,"Older adults (60 & above) or people with underlying health conditions are at higher risk of catching & developing severe forms of #COVID19. To protect yourself &amp; stay healthy during the outbreak, follow our advice in a thread below #coronavirus",NULL,NULL,#COVID19 #coronavirus,1.24868269238595E+18,https://twitter.com/WHO/status/1248682692385951746,NULL,NULL,NULL
2020-04-10 17:40:47.000,WHO,NULL,56,262,470,Family & friends may view the body of their relative who died of #COVID19 after it has been prepared for burial. Do not touch or kiss the body Wash hands thoroughly with soap &amp; water following the viewing Physical distancing measures should be strictl,NULL,NULL,#COVID19,1.24866725402532E+18,https://twitter.com/WHO/status/1248667254025326592,NULL,NULL,NULL
2020-04-10 15:58:10.000,WHO,NULL,28,93,163,The full briefing on #COVID19 by @DrTedros ,NULL,@DrTedros,#COVID19,1.24864143268194E+18,https://twitter.com/WHO/status/1248641432681943045,NULL,NULL,NULL
2020-04-10 15:49:56.000,WHO,NULL,5,81,153,"""To move these supplies around the world, @WFP will deploy eight 747 aircraft, eight medium-sized cargo aircraft, and several smaller passenger planes to move humanitarian workers, technical staff, trainers and other personnel""-@DrTedros #COVID19 #coronav",NULL,@WFP @DrTedros,#COVID19 #coronavirus,1.2486393583218E+18,https://twitter.com/WHO/status/1248639358321807367,NULL,NULL,NULL
2020-04-10 15:49:28.000,WHO,NULL,13,169,310,"""Every month, we will need to ship at least: -100M medical masks & gloves -up to 25M N95 respirators, gowns & face-shields -up to 2.5M diagnostic tests -large quantities of oxygen concentrators & other equipment for clinical care""-@DrTedros #COVID19 #coro",NULL,@DrTedros,#COVID19 #coronavirus,1.24863924187527E+18,https://twitter.com/WHO/status/1248639241875271681,NULL,NULL,NULL
2020-04-10 15:47:40.000,WHO,NULL,10,61,127,"""This initiative will be coordinated by WHO and @WFP, building on existing collaboration between multiple partners from within and outside the @UN""-@DrTedros #COVID19 #coronavirus",NULL,@WFP @UN @DrTedros,#COVID19 #coronavirus,1.24863878793832E+18,https://twitter.com/WHO/status/1248638787938324480,NULL,NULL,NULL
2020-04-10 15:47:39.000,WHO,NULL,16,113,211,"""The new @UN Supply Chain Task Force, to coordinate &amp; scale up the procurement &amp; distribution of personal protective equipment, lab diagnostics &amp; oxygen to the countries that need it most""-@DrTedros #COVID19 #coronavirus",NULL,@UN @DrTedros,#COVID19 #coronavirus,1.24863878575736E+18,https://twitter.com/WHO/status/1248638785757360135,NULL,NULL,NULL
2020-04-10 15:45:44.000,WHO,NULL,11,110,216,"""To support countries, WHO has launched three tools to help managers and planners calculate the #healthworkers, supplies and equipment that will be needed for the increase in #COVID19 patients""-@DrTedros #coronavirus",NULL,@DrTedros,#healthworkers #COVID19 #coronavirus,1.24863830282097E+18,https://twitter.com/WHO/status/1248638302820974593,NULL,NULL,NULL
2020-04-10 15:43:21.000,WHO,NULL,12,109,196,"""Within , common problems are the late recognition of #COVID19, or lack of training or inexperience in dealing with respiratory pathogens. Many #healthworkers are also being exposed to large numbers of patients in long shifts with inadequate rest periods""",NULL,@DrTedros,#COVID19 #healthworkers #coronavirus,1.24863770185691E+18,https://twitter.com/WHO/status/1248637701856911360,NULL,NULL,NULL
2020-04-10 15:40:43.000,WHO,NULL,43,629,891,"We are particularly concerned by the large numbers of infections reported among #healthworkers. In some countries there are reports of up to 10% of health workers being infected. This is an alarming trend"-@DrTedros #COVID19 #coronavirus,NULL,@DrTedros,#healthworkers #COVID19 #coronavirus,1.2486370405494E+18,https://twitter.com/WHO/status/1248637040549400576,NULL,NULL,NULL
2020-05-19 20:26:35.000,WHO,NULL,14,38,161,"As we put all our resources and energy behind #COVID19, let us also remind ourselves not to compromise on the routine health services like non-communicable diseases, vaccination services - @PMBhutan Lotay Tshering #WHA73",NULL,@PMBhutan,#COVID19 #WHA73,1.26284210922635E+18,https://twitter.com/WHO/status/1262842109226356737,NULL,NULL,NULL
2020-05-19 20:19:17.000,WHO,NULL,5,14,66,We have always emphasized the importance of free and quality health care for all and now His Majesty the King is personally spearheading the combat against #COVID19 in #Bhutan. - @PMBhutan Lotay Tshering at #WHA73,NULL,@PMBhutan,#COVID19 #Bhutan #WHA73,1.2628402718821E+18,https://twitter.com/WHO/status/1262840271882108929,NULL,NULL,NULL
2020-05-19 20:14:46.000,WHO,NULL,7,17,63,"In times like this #COVID19 pandemic, we are once again asked to reflect on the efforts and importance we have placed on public healthcare systems, mainly the universal healthcare system for all. - Prime Minister Lotay Tshering at #WHA73",NULL,NULL,#COVID19 #WHA73,1.26283913432398E+18,https://twitter.com/WHO/status/1262839134323986434,NULL,NULL,NULL
2020-05-19 19:43:49.000,WHO,NULL,23,69,179,"This #COVID19 pandemic has also put us at a crossroads where leaders have to determine which road to take 鈥?the road to promote health, or the road to protect the economy. We have to do both. -#Paraguay President @MaritoAbdo at #WHA73",NULL,@MaritoAbdo,#COVID19 #Paraguay #WHA73,1.26283134550563E+18,https://twitter.com/WHO/status/1262831345505632257,NULL,NULL,NULL
2020-05-19 19:41:17.000,WHO,NULL,28,69,215,All of us are equal. The #coronavirus certainly thinks we are all equal. It also taught us that all of us can do something to help others to find a solution to the problems we now face. -#Paraguay President @MaritoAbdo at #WHA73,NULL,@MaritoAbdo,#coronavirus #Paraguay #WHA73,1.2628307062308E+18,https://twitter.com/WHO/status/1262830706230800384,NULL,NULL,NULL
2020-05-19 13:47:57.000,WHO,NULL,51,71,292,"""For everything #COVID19 has taken from us, it has also given us something: A reminder of what really matters; And the opportunity to forge a common future""-@DrTedros #WHA73",NULL,@DrTedros,#COVID19 #WHA73,1.26274178638602E+18,https://twitter.com/WHO/status/1262741786386022404,NULL,NULL,NULL
2020-05-19 13:47:00.000,WHO,NULL,24,59,212,"""But #COVID19 has also reminded us that for all our differences, we are one human race, and we are stronger together""-@DrTedros #WHA73",NULL,@DrTedros,#COVID19 #WHA73,1.26274154719326E+18,https://twitter.com/WHO/status/1262741547193262080,NULL,NULL,NULL
2020-05-19 13:46:53.000,WHO,NULL,15,54,175,"#COVID19 has robbed us of people we love; It鈥檚 robbed us of lives and livelihoods; It鈥檚 shaken the foundations of our world; It threatens to tear at the fabric of international cooperation"-@DrTedros #WHA73,NULL,@DrTedros,#COVID19 #WHA73,1.26274151739693E+18,https://twitter.com/WHO/status/1262741517396934660,NULL,NULL,NULL
2020-05-19 13:41:26.000,WHO,NULL,6,34,118,"""We鈥檒l continue working with countries & partners to ensure equitable access to the tools to prevent, detect & treat #COVID19; We鈥檒l continue supporting countries to prepare &amp; respond; We鈥檒l continue working with countries to sustain essential health ",NULL,@DrTedros,#COVID19 #WHA73,1.26274014962184E+18,https://twitter.com/WHO/status/1262740149621846022,NULL,NULL,NULL
2020-05-19 13:41:05.000,WHO,NULL,5,25,120,"""We鈥檒l continue bringing together leading experts from around the to develop technical advice, based on the best science; We鈥檒l continue driving research and development to develop evidence about vaccines, diagnostics and therapeutics""-@DrTedros #COVID19 ",NULL,@DrTedros,#COVID19 #WHA73,1.26274005787561E+18,https://twitter.com/WHO/status/1262740057875611648,NULL,NULL,NULL
